Pull_Number,Arm_Pulled,Reward,Cumulative_Reward,Regret
662,21,24,14214,2036.3692810457524
663,21,20,14234,2040.9166666666679
664,16,13,14247,2052.4640522875816
665,21,20,14267,2057.011437908497
666,21,31,14298,2050.5588235294126
667,21,15,14313,2060.106209150328
668,19,11,14324,2073.6535947712437
669,13,19,14343,2079.2009803921574
670,11,7,14350,2096.748366013071
671,21,26,14376,2095.2957516339884
672,21,25,14401,2094.843137254902
673,21,26,14427,2093.390522875816
674,21,26,14453,2091.937908496733
675,13,19,14472,2097.485294117647
676,21,29,14501,2093.032679738564
677,21,24,14525,2093.580065359478
678,21,13,14538,2105.1274509803916
679,21,33,14571,2096.674836601309
680,21,29,14600,2092.2222222222226
681,21,31,14631,2085.7696078431363
682,21,28,14659,2082.3169934640537
683,3,22,14681,2084.8643790849674
684,19,6,14687,2103.411764705881
685,21,29,14716,2098.9591503267984
686,21,17,14733,2106.506535947712
687,21,20,14753,2111.0539215686294
688,21,31,14784,2104.601307189543
689,21,18,14802,2111.148692810457
690,21,28,14830,2107.696078431374
691,5,28,14858,2104.243464052288
692,14,6,14864,2122.7908496732016
693,21,26,14890,2121.338235294119
694,21,26,14916,2119.8856209150326
695,21,22,14938,2122.43300653595
696,21,26,14964,2120.9803921568637
697,21,31,14995,2114.5277777777774
698,21,23,15018,2116.0751633986947
699,21,22,15040,2118.6225490196084
700,20,23,15063,2120.169934640522
701,21,25,15088,2119.7173202614395
702,21,25,15113,2119.264705882353
703,3,20,15133,2123.812091503267
704,21,26,15159,2122.359477124184
705,9,19,15178,2127.906862745098
706,21,20,15198,2132.4542483660152
707,21,28,15226,2129.001633986929
708,21,28,15254,2125.5490196078426
709,21,22,15276,2128.09640522876
710,21,16,15292,2136.6437908496737
711,22,10,15302,2151.1911764705874
712,21,27,15329,2148.7385620915047
713,19,7,15336,2166.2859477124184
714,21,21,15357,2169.833333333332
715,21,24,15381,2170.3807189542495
716,21,25,15406,2169.928104575163
717,14,8,15414,2186.4754901960805
718,21,26,15440,2185.022875816994
719,21,36,15476,2173.570261437908
720,21,25,15501,2173.1176470588252
721,21,20,15521,2177.665032679739
722,10,16,15537,2186.2124183006526
723,21,30,15567,2180.75980392157
724,21,29,15596,2176.3071895424837
725,1,12,15608,2188.854575163401
726,21,22,15630,2191.4019607843147
727,21,24,15654,2191.9493464052284
728,4,25,15679,2191.4967320261458
729,21,32,15711,2184.0441176470595
730,21,24,15735,2184.591503267973
731,21,23,15758,2186.1388888888905
732,21,29,15787,2181.686274509804
733,21,27,15814,2179.233660130718
734,0,7,15821,2196.7810457516352
735,21,18,15839,2203.328431372549
736,21,31,15870,2196.8758169934663
737,7,15,15885,2206.42320261438
738,21,30,15915,2200.9705882352937
739,21,15,15930,2210.517973856211
740,21,26,15956,2209.0653594771247
741,15,18,15974,2215.6127450980384
742,21,24,15998,2216.1601307189558
743,21,30,16028,2210.7075163398695
744,21,24,16052,2211.254901960783
745,21,28,16080,2207.8022875817005
746,15,21,16101,2211.349673202614
747,21,24,16125,2211.8970588235316
748,21,23,16148,2213.4444444444453
749,21,25,16173,2212.991830065359
750,21,27,16200,2210.5392156862763
751,21,30,16230,2205.08660130719
752,21,22,16252,2207.6339869281037
753,21,29,16281,2203.181372549021
754,21,24,16305,2203.7287581699347
755,21,22,16327,2206.2761437908484
756,21,27,16354,2203.823529411766
757,14,8,16362,2220.3709150326795
758,21,20,16382,2224.918300653597
759,21,25,16407,2224.4656862745105
760,21,31,16438,2218.013071895424
761,21,21,16459,2221.5604575163416
762,21,22,16481,2224.1078431372553
763,21,29,16510,2219.655228758169
764,21,27,16537,2217.2026143790863
765,7,14,16551,2227.75
766,10,22,16573,2230.2973856209173
767,22,7,16580,2247.844771241831
768,14,8,16588,2264.3921568627447
769,21,28,16616,2260.939542483662
770,21,27,16643,2258.486928104576
771,16,14,16657,2269.0343137254895
772,21,19,16676,2274.581699346407
773,12,5,16681,2294.1290849673205
774,21,26,16707,2292.676470588234
775,21,23,16730,2294.2238562091516
776,21,30,16760,2288.7712418300653
777,17,12,16772,2301.3186274509826
778,21,20,16792,2305.8660130718963
779,21,28,16820,2302.41339869281
780,7,15,16835,2311.9607843137273
781,21,23,16858,2313.508169934641
782,18,11,16869,2327.0555555555547
783,21,23,16892,2328.602941176472
784,21,23,16915,2330.150326797386
785,21,18,16933,2336.6977124182995
786,21,26,16959,2335.245098039217
787,21,21,16980,2338.7924836601305
788,7,18,16998,2345.339869281048
789,21,18,17016,2351.8872549019616
790,21,29,17045,2347.4346405228753
791,21,27,17072,2344.9820261437926
